唪	buŋ1
唫	in+
唫	gin2
唵	an1
唶	ze2
唶	zə3
啀	iai+
啅	žuo3
啅	žau2
啇	di3
唲	er+
唲	ai-
啑	ze3
啗	dan2
啚	bi1
啚	tu+
唹	y+
啕	tau+
啡	bai1
啡	fei-
唻	lai+
唻	lai2
唭	ki2
唬	xia2
唼	za3
啖	dan2
啖	dan1
啊	a-
啦	la-
啻	č2
啼	ti+
啾	zu-
喀	kə3
喁	yŋ+
喁	y+
喃	nan+
善	šan2
喈	giai-
喉	xeu+
喊	xan1
喊	xian2
喋	die3
喋	ža2
喏	re1
喑	in-
喑	in2
喓	iau-
喔	uo3
喘	čuan1
喙	xui2
喚	xuan2
喜	xi1
喦	ŋie3
喝	xo3
喝	ai2
唧	z3
喟	kui2
喤	xuaŋ+
喧	xyan-
喪	saŋ2
喪	saŋ-
喫	ki3
喫	č3
喬	kiau+
單	dan-
單	šan+
單	šan2
啽	an-
喆	že3
喣	xy-
喣	xy1
喩	y+
喩	y2
㗉	lio3
喭	ŋan2
㗇	xia+
喢	ča3
喢	ša3
喅	y3
啿	tan2
喗	yn1
喠	žuŋ1
喠	čuŋ1
㗅	xu+
喌	žeu-
喌	žu3
喂	ui2
喇	la3
喒	zan1
喒	za1
喳	ča-
喵	mau-
喵	mau+
喵	miau-
喲	io-
嗃	xiau-
嗃	xo3
嗇	sə3
嗌	i3
嗌	ai2
嗑	xo3
嗑	go3
嗒	ta3
嗒	da3
嗔	čen-
嗛	kian1
嗛	xian+
嗛	kian2
嗛	kian-
嗜	š2
嗟	ze-
嗟	ze2
嗢	ua3
嗢	u3
嗤	č-
嗣	s2
嗁	ti+
嗄	ša2
嗄	ai2
嗄	a+
嗅	xiu2
嗉	su2
嗋	xie3
嗚	u-
嗙	beŋ-
㗕	geu-
喍	čai+
㗚	li3
嗝	gə3
嗂	iau+
嗗	ua3
嗊	xuŋ1
嗕	ru3
嗎	ma2
嗓	saŋ1
㗙	zeu-
嗦	suo-
嗷	ŋau+
嗽	seu2
嗽	su3
嗾	seu1
嗾	seu2
嗾	zu3
嘅	kai2
嘈	cau+
嘉	gia-
嘏	gu1
嘐	xiau+
嘒	xui2
嘔	xy-
嘔	eu-
嘔	eu1
嘖	zə3
嘗	čaŋ+
噑	xau+
噓	xy-
噓	xy2
嗼	mo3
嗼	mə3
嘂	giau2
嘌	piau-
嘍	leu+
嘍	leu1
嘎	ga3
嘎	gia3
嘑	xu-
嘑	xu2
嘕	xian-
㗦	lau+
嗺	zui-
嘄	xiau-
嘁	ki3
嘁	za3
嘛	ma+
㗣	di2
嘬	čuai2
嘲	čau-
嘵	xiau-
嘶	s-
嘻	xi-
嘽	tan-
嘽	čan1
噂	zun1
噉	dan2
噍	zau-
噍	zau2
噍	zu-
㗱	z3
噎	i3
噎	ie3
㘀	zuo3
㗵	xy3
嘰	gi-
嘴	zui1
嘸	fu1
嘹	liau+
嘹	liau2
嘿	mə3
嘿	xei-
噆	za3
噊	y3
噌	zeŋ-
嘾	tan2
嗿	tan1
㗿	xia2
噅	xui-
